vendor,camera,sensor_name,aspect,fov,pixel_pitch,res_w,res_h,sensor_w_mm,sensor_h_mm,focal_length
RED,EPIC-W 8K,7.5K FF,1.8824,24.02,0.003650,7680,4080,28.03,14.89,35.00
RED,EPIC-W 8K,7.5K 2:1,2.0000,22.65,0.003650,7680,3840,28.03,14.02,35.00
RED,EPIC-W 8K,7.5K WS,2.3704,19.18,0.003650,7680,3240,28.03,11.83,35.00
RED,EPIC-W 8K,7.5K HD,1.7778,24.16,0.003650,7296,4104,26.63,14.98,35.00
RED,EPIC-W 8K,7K FF,1.8963,22.30,0.003650,7168,3780,26.16,13.80,35.00
RED,EPIC-W 8K,7K 2:1,2.0000,21.17,0.003650,7168,3584,26.16,13.08,35.00
RED,EPIC-W 8K,7K WS,2.3704,17.93,0.003650,7168,3024,26.16,11.04,35.00
RED,EPIC-W 8K,7K HD,1.7778,22.30,0.003650,6720,3780,24.53,13.80,35.00
RED,EPIC-W 8K,6.5K FF,1.8824,20.90,0.003649,6656,3536,24.29,12.91,35.00
RED,EPIC-W 8K,6.5K 2:1,2.0000,19.69,0.003649,6656,3328,24.29,12.15,35.00
RED,EPIC-W 8K,6.5K WS,2.3704,16.66,0.003649,6656,2808,24.29,10.25,35.00
RED,EPIC-W 8K,6.5K HD,1.7778,20.42,0.003651,6144,3456,22.43,12.61,35.00
RED,EPIC-W 8K,6K FF,1.8963,19.18,0.003651,6144,3240,22.43,11.83,35.00
RED,EPIC-W 8K,6K 2:1,2.0000,18.20,0.003651,6144,3072,22.43,11.21,35.00
RED,EPIC-W 8K,6K WS,2.3704,15.39,0.003651,6144,2592,22.43,9.46,35.00
RED,EPIC-W 8K,6K HD,1.7778,19.18,0.003649,5760,3240,21.02,11.83,35.00
RED,EPIC-W 8K,5.5K FF,1.9104,17.48,0.003651,5632,2948,20.56,10.76,35.00
RED,EPIC-W 8K,5.5K 2:1,2.0000,16.71,0.003651,5632,2816,20.56,10.28,35.00
RED,EPIC-W 8K,5.5K WS,2.3704,14.12,0.003651,5632,2376,20.56,8.67,35.00
RED,EPIC-W 8K,5.5K HD,1.7778,17.93,0.003650,5376,3024,19.62,11.04,35.00
